# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08926413240116807,1.011952128,3.0,0.0,0.26779239720350423,3.0000000000000004,0,0.0,0.0,0.0
 0.1259868352910995,1.023809024,3.0,0.0,0.37796050587329855,3.000000000000001,0,0.0,0.0,0.0
 0.15399449340804364,1.035571456,3.0,0.0,0.461983480224131,3.000000000000001,0,0.0,0.0,0.0
 0.17746397193045516,1.047240192,3.0,0.0,0.5323919157913655,2.9999999999999964,0,0.0,0.0,0.0
 0.19801683430119432,1.058816,3.0,0.0,0.594050502903583,3.0,0,0.0,0.0,0.0
 0.21648656309341693,1.070299648,3.0,0.0,0.6494596892802508,2.9999999999999987,0,0.0,0.0,0.0
 0.23336938388171932,1.081691904,3.0,0.0,0.7001081516451579,3.0,0,0.0,0.0,0.0
 0.24898933845983554,1.0929935359999998,3.0,0.0,0.7469680153795066,3.0000000000000036,0,0.0,0.0,0.0
 0.26357201672408265,1.1042053120000002,3.0,0.0,0.7907160501722479,2.9999999999999942,0,0.0,0.0,0.0
 0.27728204653986055,1.115328,3.0,0.0,0.8318461396195816,3.000000000000004,0,0.0,0.0,0.0
 0.29024399850240956,1.1263623680000001,3.0,0.0,0.8707319955072287,3.0,0,0.0,0.0,0.0
 0.30255488097203126,1.137309184,3.0,0.0,0.9076646429160937,2.9999999999999956,0,0.0,0.0,0.0
 0.3142920255643362,1.148169216,3.0,0.0,0.9428760766930087,3.000000000000005,0,0.0,0.0,0.0
 0.3255182862247016,1.1589432320000002,3.0,0.0,0.9765548586741047,3.0,0,0.0,0.0,0.0
 0.3362855929117392,1.169632,3.0,0.0,1.0088567787352176,3.0,0,0.0,0.0,0.0
 0.3466374551795195,1.1802362880000001,3.0,0.0,1.0399123655385585,3.0,0,0.0,0.0,0.0
 0.35661077194423996,1.1907568640000001,3.0,0.0,1.0698323158327199,3.0,0,0.0,0.0,0.0
 0.36623716905852144,1.201194496,3.0,0.0,1.0987115071755642,2.9999999999999885,0,0.0,0.0,0.0
 0.37554400718601993,1.2115499520000002,3.0,0.0,1.1266320215580599,3.0000000000000178,0,0.0,0.0,0.0
 0.38455515425835446,1.2218240000000002,3.0,0.0,1.1536654627750633,2.9999999999999876,0,0.0,0.0,0.0
 0.3932915864851422,1.2320174080000001,3.0,0.0,1.1798747594554264,2.999999999999994,0,0.0,0.0,0.0
 0.4017718622966688,1.2421309440000001,3.0,0.0,1.2053155868900063,3.0000000000000067,0,0.0,0.0,0.0
 0.4100125006224405,1.2521653760000002,3.0,0.0,1.2300375018673215,3.0000000000000133,0,0.0,0.0,0.0
 0.4180282861242765,1.262121472,3.0,0.0,1.2540848583728295,2.9999999999999862,0,0.0,0.0,0.0
 0.42583251793790183,1.2720000000000002,3.0,0.0,1.2774975538137054,3.0,0,0.0,0.0,0.0
 0.4334372142152387,1.281801728,3.0,0.0,1.300311642645716,3.0,0,0.0,0.0,0.0
 0.4408532817162645,1.291527424,3.0,0.0,1.3225598451487934,3.0000000000000075,0,0.0,0.0,0.0
 0.44809065749391996,1.3011778560000002,3.0,0.0,1.34427197248176,3.0000000000000155,0,0.0,0.0,0.0
 0.45515842809582985,1.310753792,3.0,0.0,1.3654752842874898,3.0000000000000155,0,0.0,0.0,0.0
 0.46206493050219705,1.3202560000000003,3.0,0.0,1.3861947915065913,2.999999999999992,0,0.0,0.0,0.0
 0.468817838113412,1.329685248,3.0,0.0,1.4064535143402361,3.0,0,0.0,0.0,0.0
 0.4754242344124528,1.3390423040000003,3.0,0.0,1.4262727032373586,3.0,0,0.0,0.0,0.0
 0.48189067639870364,1.3483279360000002,3.0,0.0,1.4456720291961112,3.0000000000000084,0,0.0,0.0,0.0
 0.48822324948053575,1.3575429120000002,3.0,0.0,1.4646697484416076,3.0000000000000173,0,0.0,0.0,0.0
 0.49442761519424344,1.3666880000000003,3.0,0.0,1.4832828455827307,3.000000000000009,0,0.0,0.0,0.0
 0.5005090528651805,1.3757639680000002,3.0,0.0,1.501527158595542,3.0000000000000093,0,0.0,0.0,0.0
 0.5064724961272166,1.384771584,3.0,0.0,1.51941748838165,2.9999999999999813,0,0.0,0.0,0.0
 0.5123225650570808,1.3937116160000003,3.0,0.0,1.5369676951712428,2.999999999999981,0,0.0,0.0,0.0
 0.518063594551866,1.4025848320000003,3.0,0.0,1.5541907836555982,2.9999999999999805,0,0.0,0.0,0.0
 0.5236996594741432,1.4113920000000002,3.0,0.0,1.5710989784224296,2.9999999999999805,0,0.0,0.0,0.0
 0.529234597004643,1.4201338880000003,3.0,0.0,1.5877037910139291,3.0,0,0.0,0.0,0.0
 0.5346720265733006,1.4288112640000004,3.0,0.0,1.604016079719902,3.0000000000000204,0,0.0,0.0,0.0
 0.5400153676825629,1.4374248960000002,3.0,0.0,1.6200461030476885,2.9999999999999583,0,0.0,0.0,0.0
 0.5452678558898065,1.4459755520000002,3.0,0.0,1.6358035676694196,3.0000000000000213,0,0.0,0.0,0.0
 0.5504325571766266,1.4544640000000004,3.0,0.0,1.65129767152988,3.0,0,0.0,0.0,0.0
 0.5555123809001323,1.4628910080000004,3.0,0.0,1.666537142700397,3.0,0,0.0,0.0,0.0
 0.5605100914940488,1.4712573440000003,3.0,0.0,1.6815302744821463,2.9999999999999556,0,0.0,0.0,0.0
 0.5654283190644066,1.4795637760000004,3.0,0.0,1.6962849571932197,3.0000000000000226,0,0.0,0.0,0.0
